Food,Calories,Protein,Carbs,Fats,Meal,Type,Veg/Non-Veg
Egg dinner rolls,307,9.5,52,6,Dinner,Side,Non Veg
Dal vada,230,5,16,17,Dinner,Side,Veg
Moong dal halwa,98,4,12,4,Dinner,Side,Veg
Paneer dosa,204,8,33,5.4,Dinner,Base,Veg
Chana dal ,160,10,26,2,Dinner,Base,Veg
Sabudana khichdi,199,2,30,8,Dinner,Base,Veg
Vegetable curry,85,2.6,12,3,Dinner,Side,Veg
Rice with Vegetables,99,2.5,19,1,Dinner,Base,Veg
Vegetables & rice wrap sandwich,164,4,25,5.4,Dinner,Base,Veg
Mashed potato,100,2,16,3.5,Dinner,Side,Veg
Fried potatoes,125,2.4,22,3,Dinner,Side,Veg
Egg biryani,136,6,16,5,Dinner,Base,Non Veg
Fish biryani,118,7.6,12.4,4,Dinner,Base,Non Veg
Fish curry,100,12,2,4.5,Dinner,Side,Non Veg
Egg dosa,219,11,25,8.6,Dinner,Base,Non Veg
Macaroni,157,6,30.6,1,Dinner,Base,Veg
Penne pasta,157,6,30.6,1,Dinner,Base,Veg
Pasta with meat sauce,129,8,13,5,Dinner,Base,Non Veg
Roasted cauliflower,48,1.5,3.6,3.6,Dinner,Side,Veg
Mixed salad greens,17,1.5,3,0.2,Dinner,Side,Veg
Vegetable salad,16,1,3,0.07,Dinner,Side,Veg
Falafel,333,13,32,18,Dinner,Side,Veg
Avocado & cucumber salad,106,1,7,9,Dinner,Side,Veg
Hummus,177,5,20,8.5,Dinner,Side,Veg
Broccoli salad,206,2,13,17,Dinner,Side,Veg
Quinoa salad,155,6,21,5.5,Dinner,Side,Veg
Lettuce salad with tomato,17,0.8,3.6,0.1,Dinner,Side,Veg
Cooked lentils,165,8,19,7,Dinner,Side,Veg
Macaroni or Pasta salad,202,4,23,10.6,Dinner,Base,Veg
Chicken leg,230,26,0,13,Dinner,Base,Non Veg
Grilled fish ,109,22.6,0.3,1,Dinner,Base,Non Veg
Grilled chicken breast,195,29.5,0,8,Dinner,Base,Non Veg
Pasta with vegetables,125,4.5,23,1.4,Dinner,Base,Veg
Whole wheat spaghetti,123,5,26,0.5,Dinner,Base,Veg
Lentil soup,75,4,11,2,Dinner,Side,Veg
Pasta with pesto sauce,315,9,23,21,Dinner,Base,Veg
Baked ziti (Cheesy pasta bake),156,9.5,14,6.6,Dinner,Base,Veg
Lasagna with meat,163,10,17,6,Dinner,Base,Non Veg
Meatless lasagna,147,8,19,4.4,Dinner,Base,Veg
Macaroni or noodles with cheese,203,8,21.4,9.4,Dinner,Base,Veg
Whole wheat noodles,120,5,23.4,1,Dinner,Base,Veg
Stir-fried Vegetables,75,4.5,5.2,4,Dinner,Side,Veg
Pad Thai (Thai stir-fried noodles),170,6,22.4,6,Dinner,Base,Veg
Cauliflower fried rice,79,5,6,4,Dinner,Base,Veg
Cheese pizza with Vegetables,230,9,29,8.5,Dinner,Base,Veg
Potato french fries,274,3.4,35.6,14,Dinner,Side,Veg
Vegetable macaroni,116,4,24,0.1,Dinner,Base,Veg
 Grilled cheese sandwich,350,11,33.5,19,Dinner,Base,Veg
 Chicken sandwich,219,18,23,5.6,Dinner,Base,Non Veg
Fried whole wheat puri,296,7.5,47,9.4,Dinner,Base,Veg
Fried egg sandwich,235,10.4,27,9,Dinner,Base,Non Veg
" BLT sandwich (Bacon, Lettuce, Tomato)",210,7,21,10.6,Dinner,Base,Non Veg
Cheese roll,305,9,48,8.5,Dinner,Side,Veg
 Chicken shawarma ,133,9,19.6,1.6,Dinner,Base,Non Veg
 Falafel wrap,250,8,31,11,Dinner,Base,Veg
Quesadilla with meat and cheese,324,17,20,19,Dinner,Base,Non Veg
Baked or broiled crab,136,19,0.1,6,Dinner,Base,Non Veg
 Chicken nuggets ,297,15.5,16,19,Dinner,Side,Non Veg
Chicken pasta,143,8.6,17.6,4,Dinner,Base,Non Veg
Beef curry,184,11.6,6,13,Dinner,Side,Non Veg
Baked beans,151,5.5,21,5,Dinner,Side,Veg
Sweet potato fries ,165,2,20,9,Dinner,Side,Veg
Fruit juice,46,0.4,11,0.1,Breakfast,Side,Veg
Milk,50,3,5,2,Dinner,Side,Veg
Latte coffee,33,2,3,1.3,Dinner,Side,Veg
Almond milk,17,0.6,0.5,1.5,Dinner,Side,Veg
Fruit smoothie drink,80,1,18,0.8,Dinner,Side,Veg
Turmeric milk,86,3.6,6,5,Dinner,Side,Veg
 Green tea,1,0,0.2,0,Dinner,Side,Veg
Vanilla shake,148,3,19.5,6.5,Dinner,Side,Veg
 Milkshake,135,3,20,5,Dinner,Side,Veg
Hot cocoa milk,77,3.5,10.6,2,Dinner,Side,Veg
